Part Name,Supplier,Usage,Quantity,Price / Qnt (€),Price / Qnt ($),Total Price ($),Link,Other (ie LCSC Part)
W65C02S6TPG-14,Mouser,Processor,1.00,€11.11,$12.69,$12.69,https://eu.mouser.com/ProductDetail/Western-Design-Center-WDC/W65C02S6TPG-14?qs=opBjA1TV903lvWo9AEKH5w%3D%3D,
W65C22S6TPG-14,Mouser,I/O,2.00,€11.30,$12.91,$25.82,https://eu.mouser.com/ProductDetail/Western-Design-Center-WDC/W65C22S6TPG-14?qs=opBjA1TV9038jNZ%252Bop8JdA%3D%3D,
AT28C256-15PU,Mouser,EEPROM,1.00,€11.04,$12.61,$12.61,https://eu.mouser.com/ProductDetail/Microchip-Technology/AT28C256-15PU?qs=MAR%2F2X5XOp7eAU2%2FlNw9oA%3D%3D,
AS6C62256-55PCN,Mouser,SRAM,1.00,€4.51,$5.15,$5.15,https://eu.mouser.com/ProductDetail/Alliance-Memory/AS6C62256-55PCN?qs=LD2UibpCYJqgbIupMJnGTQ%3D%3D,
74HC00PW,Mouser,LOGIC GATE,2.00,€0.20,$0.23,$0.46,https://eu.mouser.com/ProductDetail/Nexperia/74HC00PW118?qs=P62ublwmbi%252Bop9mGFSsqeg%3D%3D,
1.8432 MHz Crystal,Mouser,ACIA Crystal,1.00,€1.32,$1.51,$1.51,https://gr.mouser.com/ProductDetail/CTS-Electronic-Components/MP018B?qs=tjlMjqRIEYSLWN5wSKp3lw%3D%3D,
1MHz Crystal,Mouser,Backup Clock,1.00,€2.96,$3.38,$3.38,https://eu.mouser.com/ProductDetail/ECS/ECS-100A-010?qs=GxOUx7aO6nwDnc3%252B6Ta2Kw%3D%3D,
W65C51N6TPG-14,Mouser,ACIA / SERIAL,2.00,€8.77,$10.02,$20.04,https://eu.mouser.com/ProductDetail/Western-Design-Center-WDC/W65C51N6TPG-14?qs=AgbsAOSw7WDdUCKSkUixbw%3D%3D,
Shunt,Mouser,Jumper Pin,1.00,€0.36,$0.41,$0.41,https://eu.mouser.com/ProductDetail/Harwin/M7686-05?qs=%252Bk6%2F5FB6qrn2j2nK8fZfOA%3D%3D,
ZIF Socket,Grobotronics,Quick EEPROM Removal,1.00,€1.50,$1.71,$1.71,https://grobotronics.com/zif-socket.html,
Kapton Tape,Grobotronics,Tape for Crystal Soldering,1.00,€1.80,$2.06,$2.06,https://grobotronics.com/high-temperature-adhesive-tape-green-20mm-33m.html,
Breadboard,Grobotronics,External Board,1.00,€2.80,$3.20,$3.20,https://grobotronics.com/breadboard-830-tie-point-classic.html,
"C1,C2,C3,C4,C5,C7,C9,C10,C11",JLCPCB / LCSC,PCB Part,9.00,-,$0.33,$2.97,https://lcsc.com,C1590
C6,JLCPCB / LCSC,PCB Part,1.00,-,$0.31,$0.31,https://lcsc.com,C1658
C8,JLCPCB / LCSC,PCB Part,2.00,-,$0.24,$0.48,https://lcsc.com,C1691
"D1,D2",JLCPCB / LCSC,PCB Part,2.00,-,$0.57,$1.14,https://lcsc.com,C2286
IC1,JLCPCB / LCSC,PCB Part,1.00,-,$0.66,$0.66,https://lcsc.com,C2332
"IC2,IC5",JLCPCB / LCSC,PCB Part,2.00,-,$0.66,$1.32,https://lcsc.com,C2332
"IC3,IC7",JLCPCB / LCSC,PCB Part,2.00,-,$0.53,$1.06,https://lcsc.com,C2874014
IC4,JLCPCB / LCSC,PCB Part,1.00,-,$0.53,$0.53,https://lcsc.com,C2874014
"IC6,IC8",JLCPCB / LCSC,PCB Part,2.00,-,$0.53,$1.06,https://lcsc.com,C2874014
"J1,J2,J4,J7",JLCPCB / LCSC,PCB Part,4.00,-,$0.49,$1.96,https://lcsc.com,C18723047
"J3,J15",JLCPCB / LCSC,PCB Part,2.00,-,$0.36,$0.72,https://lcsc.com,C25503122
"J5,J8",JLCPCB / LCSC,PCB Part,2.00,-,$0.45,$0.90,https://lcsc.com,C18723052
J6,JLCPCB / LCSC,PCB Part,1.00,-,$0.66,$0.66,https://lcsc.com,C2977590
J9,JLCPCB / LCSC,PCB Part,1.00,-,$0.37,$0.37,https://lcsc.com,C456012
J10,JLCPCB / LCSC,PCB Part,1.00,-,$0.48,$0.48,https://lcsc.com,C431533
J11,JLCPCB / LCSC,PCB Part,1.00,-,$0.66,$0.66,https://lcsc.com,C2977590
J12,JLCPCB / LCSC,PCB Part,1.00,-,$0.05,$0.05,https://lcsc.com,C7501275
J14,JLCPCB / LCSC,PCB Part,1.00,-,$0.66,$0.66,https://lcsc.com,C2977590
R6,JLCPCB / LCSC,PCB Part,1.00,-,$0.10,$0.10,https://lcsc.com,C21190
R3,JLCPCB / LCSC,PCB Part,1.00,-,$0.11,$0.11,https://lcsc.com,C22935
"R4,R5",JLCPCB / LCSC,PCB Part,2.00,-,$0.11,$0.22,https://lcsc.com,C23186
R7,JLCPCB / LCSC,PCB Part,1.00,-,$0.11,$0.11,https://lcsc.com,C22962
SW2,JLCPCB / LCSC,PCB Part,1.00,-,$0.40,$0.40,https://lcsc.com,C720477
"U1,U2",JLCPCB / LCSC,PCB Part,2.00,-,$1.16,$2.32,https://lcsc.com,C2325
U3,JLCPCB / LCSC,PCB Part,1.00,-,$0.65,$0.65,https://lcsc.com,C347197
Y1,JLCPCB / LCSC,PCB Part,1.00,-,$0.98,$0.98,https://lcsc.com,C41361468
"R1,R8",JLCPCB / LCSC,PCB Part,2.00,-,$0.10,$0.20,https://lcsc.com,C22978
C12,JLCPCB / LCSC,PCB Part,1.00,-,$0.24,$0.24,https://lcsc.com,C70225
U4,JLCPCB / LCSC,PCB Part,1.00,-,$0.70,$0.70,https://lcsc.com,
PCB,JLCPCB / LCSC,PCB,0.50,-,$14.00,$7.00,https://jlcpcb.com,
PCB ASSEMBLY,JLCPCB / LCSC,PCB,0.50,-,$15.14,$7.57,https://jlcpcb.com,
,,,,,,,,
SHIPPING,Grobotronics,SHIPPING,,€1.50,$1.71,,,
,JLCPCB / LCSC,,,-,$10.00,,,
TAXES,MOUSER,,,€35.45,$40.81,,,
,,,,,,,,
TOTAL / UNIT,,,,,,$125.63,,
QNT,,,,,,2.00,,
TOTAL,,,,,,$262.97,,
